Num of users,Xd,Yd,Ad
100,444.98291634267406,100.89566652909318,63.546229
100,155.90162975892667,446.2844703664233,50.0
100,237.19815565746728,86.4973199526558,110.65833
100,37.817433804822116,220.50563156646376,65.670735
100,367.0612284648922,416.94785054571764,79.73789
100,288.9403415189454,337.7779469343401,50.0
100,27.787443154078346,28.868811860411228,249.78603
100,148.3303616496014,246.82145315826597,50.0
100,313.375963229399,185.1893341436934,50.0
100,389.3655934389195,286.24226911797183,129.85371
100,56.57735730993301,151.35119078890338,210.00735
100,374.7440181406739,51.09583115912727,111.00929
100,61.51955828126961,475.1690641395754,70.75187
100,139.12404607826844,80.84082204829284,52.359159
100,490.8150534709641,199.50796918389858,247.90826
100,301.3850085776893,470.1357531962291,53.23255
100,205.2865775565705,334.5646492878086,50.0
100,440.85898295711445,361.6154536229632,99.699466
100,61.65010477424843,363.165354362508,177.87648
100,473.6415356174807,476.2694914793209,50.0
100,22.887733292590013,252.56834278649617,249.91559
100,391.43753533423387,311.6480644170163,196.04727
100,155.40543074756306,232.65415983258544,58.758014
100,149.26396697618992,114.29969429547015,50.0
100,178.01753831364488,445.33367185427454,50.0
100,453.49741656438664,158.58495988043472,50.0
100,492.39073922998,403.73475129565145,250.0
100,243.12429040360058,395.6075775535281,50.0
100,318.651852673287,462.66793902489735,50.0
100,262.22663027854816,140.96199042482624,50.0
100,348.25864858411586,227.42081533719815,50.0
100,475.2627839111898,293.89838639048526,50.0
100,28.32523400114971,398.79394987923774,50.0
100,279.9319503960096,305.67140988359154,131.0286
100,91.92214767514267,307.5324179171504,50.0
100,84.23378621646316,114.29264414770978,63.127481
100,487.84178163699505,54.574223496030015,234.36305
100,384.7915984138889,434.050498689219,50.0
100,449.57512928199014,229.55473499226548,50.0
100,246.81406785364723,267.7213646841157,62.356967
100,145.7236727053227,34.10897108635615,88.225849
100,475.7916201093319,94.10812982405625,50.0
100,157.8804265090535,472.2101634808903,50.0
100,451.1032661770075,439.48206118532175,78.341069
100,393.02059392060994,286.05419133437783,50.0
100,332.92611417119775,65.0383765115786,60.374104
100,252.80129051076383,423.17073404394273,51.955445
100,19.155975214686094,135.27057793181393,50.0
100,162.0709236823268,358.4501130597752,50.0
100,345.49069609065265,423.5806485800192,59.545053
100,258.36112583884886,116.59289342082761,56.166541
100,474.4845710293945,218.51667979865093,64.639142
100,317.1113543390688,174.64747988697633,73.991299
100,39.550773398670174,30.87464957289913,50.0
100,156.6399800087381,178.10128371293854,250.0
100,472.7424697268344,351.367641591198,50.0
100,434.0844436630187,24.826375057540844,79.710697
100,61.22897472315711,240.06096257318018,247.11502
100,302.95347691014587,164.35595592881245,50.0
100,237.73836077597858,460.96535495127586,50.0
100,466.40103274740943,386.92183253197527,52.976884
100,137.69169871236895,29.45066439422135,50.0
100,52.50797503608885,467.0826387892611,75.59198
100,396.53338843030133,126.20886458030122,70.889217
100,251.069671780437,308.10916516417996,50.0
100,45.186876090899574,107.12298142750004,250.0
100,268.7352319137738,49.93215029683566,250.0
100,129.42620138146003,405.7837475428785,78.786224
100,432.8419078388288,193.57566323410362,75.532798
100,312.13514349469045,421.6118738918327,84.148997
100,360.340534494964,295.7041017184078,50.0
100,192.4616304711576,206.1025707669696,227.87644
100,452.67705636549795,277.2100555007667,82.391232
100,166.15909512156182,321.69061411886213,249.68605
100,415.0937238112391,32.00630841156209,50.0
100,152.79012505563918,121.64022550702927,88.438062
100,262.57162335243095,233.70211508451655,75.562217
100,23.814114461497923,269.1189696320057,73.12519
100,432.0035146720196,190.57924483772769,50.0
100,178.96003598478865,174.1243530444528,50.0
100,430.42319624170364,438.52683530612137,50.0
100,37.84216055155872,463.2816834699344,50.0
100,332.11373032243966,323.36816143325996,68.496665
100,445.42749467391695,96.55748936085399,50.0
100,280.40420835108864,473.1621648163303,50.0
100,265.4247071901238,64.30326961061718,50.0
100,108.16563012872166,307.50990784161934,72.761223
100,448.5903008477327,204.24337814705456,50.0
100,471.85664744517646,457.9211740414766,82.737358
100,44.42308728231038,460.0891921745883,50.0
100,109.51695240203553,152.1645884226024,60.592061
100,201.95268570644743,228.84962799528543,50.0
100,429.61323943724443,311.18485629887084,50.0
100,156.17475770861307,409.1898459606847,59.018901
100,358.9320323021543,41.388255951101826,61.835012
100,329.071811703698,258.8442570358667,50.0
100,42.304554842414404,368.51737352075247,63.359688
100,251.02980497731906,363.2600276293839,250.0
100,26.932113979579896,150.17225834712457,50.0
100,430.4628955183167,110.72450136044768,50.0
